Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;Porte;População 2015;População 2016;População 2017;População 2018;PIB 2015;PIB 2016;PIB 2017;PIB 2018;Desp. Saúde 2015;Desp. Saúde 2016;Desp. Saúde 2017;Desp. Saúde 2018;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018;IDM 2014;IDM 2016;IDM 2018;IDM 2020
Maurilândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;12956;13170;13379;13829;14.004,05;14.248,34;15.118,00;16.350,00;5.511.174,03;5.749.809,07;5.260.615,59;7.346.119,5;-;B;A;B+;5,80;5,16;5,11;7,10
Mimoso de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;2715;2708;2702;2612;13.647,10;15.274,88;21.656,00;21.908,00;2.617.846,70;2.872.194,46;2.122.091,02;3.217.911,63;-;B;B+;A;7,21;7,46;6,32;7,55
Minaçu;MRG PORANGATU;NORTE GOIANO;pequeno porte II;31031;30862;30696;29353;50.054,91;32.202,43;29.714,00;35.258,00;20.282.983,05;22.963.254,48;23.202.247,62;24.064.755,35;B;B;B;B;6,18;5,50;5,78;6,20
Mineiros;MRG SUDOESTE DE GOIÁS;SUL GOIANO;médio porte;60464;61623;62750;65420;33.786,17;36.703,84;38.453,00;39.248,00;43.221.597,56;46.959.415,46;51.812.720,88;55.030.001,51;B+;B+;B+;B;5,99;6,88;7,60;7,74
Moiporá;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;1704;1684;1666;1557;19.584,72;20.486,08;20.931,00;22.425,00;2.407.993,42;2.523.094,76;2.884.620,51;2.893.058,6;B+;B+;B+;B+;7,89;7,75;6,57;7,99
Monte Alegre de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;8319;8392;8464;8527;9.293,37;9.732,41;9.630,00;9.645,00;3.596.433,89;3.499.855,53;3.916.357,07;5.785.280,5;C+;-;B;B;5,98;6,79;6,88;8,20
Montes Claros de Goiás;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;8224;8230;8236;8063;30.167,33;34.807,44;31.414,00;36.431,00;6.148.038,39;6.448.318,56;6.610.857,1;7.661.567,24;B+;B+;B+;C+;7,86;8,16;8,88;7,83
Montividiu;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;12101;12337;12566;13115;48.182,25;59.010,83;61.594,00;59.494,00;8.890.161,66;10.709.533,23;8.579.950,73;9.121.586,54;B;B;B+;B;7,14;6,63;7,82;6,74
Montividiu do Norte;MRG PORANGATU;NORTE GOIANO;pequeno porte I;4387;4417;4447;4449;13.482,12;13.920,45;15.023,00;15.682,00;2.550.849,92;2.666.690,75;2.996.641,96;3.640.460,17;B+;A;A;A;7,22;6,74;7,29;7,31
Morrinhos;MRG MEIA PONTE;SUL GOIANO;médio porte;44607;45000;45382;45716;25.640,77;27.621,32;28.085,00;29.978,00;21.563.509,29;24.382.307,00;25.636.664,92;21.285.682,68;B;B;B+;B+;8,02;7,67;8,12;8,07
Morro Agudo de Goiás;MRG CERES;CENTRO GOIANO;pequeno porte I;2369;2360;2351;2264;13.841,56;15.196,89;16.089,00;17.211,00;1.815.856,50;3.026.924,07;2.876.534,63;3.111.228,33;-;B;A;A;8,15;8,66;9,44;8,98
Mossâmedes;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;4817;4758;4700;4377;15.539,13;16.565,28;17.153,00;17.888,00;3.277.741,56;4.468.141,00;6.791.614,09;4.740.674,3;B;B;C+;B;8,63;7,75;9,46;8,83
Mozarlândia;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;14752;14941;15125;15444;37.640,35;30.713,58;35.374,00;34.244,00;10.683.508,35;11.583.071,90;12.404.983,55;14.918.692,31;B+;-;A;A;6,62;6,56;6,54;6,55
Mundo Novo;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;5914;5786;5661;5066;17.047,03;18.190,80;18.559,00;19.101,00;3.714.956,21;3.984.773,07;4.230.739,54;4.875.794,45;B+;B+;A;B+;6,83;8,46;8,82;8,65
Mutunópolis;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3917;3911;3906;3793;14.359,21;15.122,79;15.299,00;16.136,00;3.456.535,46;5.205.975,73;4.141.598,17;5.051.390,6;B;-;B;B;7,03;7,44;8,74;8,88
Nazário;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;8641;8747;8850;9022;18.439,73;19.143,56;19.712,00;19.632,00;4.552.858,37;5.234.710,12;5.040.197,29;5.237.490,47;-;B;B;B+;7,70;7,22;8,29;7,98
Nerópolis;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte II;27341;27812;28271;29293;23.186,95;23.208,78;26.000,00;24.914,00;25.242.323,33;28.714.308,68;23.695.158,8;28.721.265,36;B+;C+;A;A;8,70;8,65;8,73;8,33
Niquelândia;MRG PORANGATU;NORTE GOIANO;pequeno porte II;45243;45582;45913;46039;26.471,51;20.463,76;21.804,00;24.042,00;24.295.618,24;22.295.569,85;18.688.589,42;18.186.385,41;B+;B;-;A;7,28;6,85;6,59;6,83
Nova América;MRG CERES;CENTRO GOIANO;pequeno porte I;2358;2366;2373;2346;14.920,34;15.139,76;16.033,00;15.980,00;2.328.623,35;2.805.940,44;3.218.791,76;3.257.002,99;A;A;A;A;6,10;7,73;8,25;9,01
Nova Aurora;MRG CATALÃO;SUL GOIANO;pequeno porte I;2181;2194;2206;2199;20.401,48;22.072,55;21.663,00;22.375,00;2.435.181,55;2.818.950,39;2.914.291,22;3.095.348,44;B;B+;B+;A;6,36;6,88;7,78;7,35
Nova Crixás;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;12653;12732;12810;12791;26.525,53;29.242,11;27.721,00;27.856,00;8.043.604,50;9.294.967,32;10.492.100,64;10.317.622,25;-;C;B+;B+;6,87;8,07;7,84;8,14
Nova Glória;MRG CERES;CENTRO GOIANO;pequeno porte I;8575;8548;8521;8218;11.768,47;14.062,55;14.672,00;14.323,00;2.938.854,06;4.444.205,49;3.507.215,52;3.681.437,51;C+;B+;B+;B+;4,80;5,97;6,41;6,82
Nova Iguaçu de Goiás;MRG PORANGATU;NORTE GOIANO;pequeno porte I;2944;2953;2961;2923;11.859,33;11.949,17;13.273,00;14.068,00;2.530.496,33;1.992.734,49;2.290.110,84;2.901.777,85;B+;B+;B;-;7,23;5,82;7,53;6,79
Nova Roma;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;3470;3453;3437;3293;12.742,60;13.277,91;12.839,00;13.668,00;3.067.403,07;4.096.373,20;3.273.319,35;3.911.617,65;-;-;C+;-;5,68;7,06;7,92;7,71
Nova Veneza;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;9105;9249;9389;9684;17.436,77;17.486,15;19.017,00;18.864,00;4.306.596,15;4.997.394,31;6.071.629,98;6.536.584,51;B;-;B;B;7,75;8,25;8,28;7,93
Novo Brasil;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;3341;3291;3242;2985;17.350,80;17.902,58;17.771,00;18.792,00;4.028.452,47;3.902.612,22;4.232.514,81;4.741.823,1;-;B+;B;B+;8,37;8,34;8,95;9,51
Novo Gama;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;106677;108410;110096;113679;7.478,03;7.501,44;8.377,00;8.403,00;22.470.802,27;27.210.907,74;22.506.404;25.626.899,35;-;B;B;B;4,40;4,35;3,79;4,82
Novo Planalto;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;4298;4343;4387;4445;17.336,77;16.866,47;20.343,00;23.336,00;2.946.854,91;3.037.661,32;3.179.204,91;3.117.247,35;B+;-;B+;-;6,87;6,00;6,33;6,30
Orizona;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;15254;15364;15472;15502;26.373,39;30.023,74;31.369,00;33.461,00;10.214.055,28;9.429.692,51;9.979.648;9.103.486,78;A;B+;A;A;7,93;7,59;7,81;7,69
Ouro Verde de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;4016;3993;3971;3797;20.293,62;21.971,96;23.941,00;28.878,00;3.296.502,78;3.113.404,64;3.454.080,76;4.714.315,58;A;B;A;B+;6,92;6,82;7,40;7,65
Ouvidor;MRG CATALÃO;SUL GOIANO;pequeno porte I;6142;6242;6340;6549;83.017,07;95.794,89;100.769,00;116.335,00;9.193.976,91;9.671.877,61;8.565.209,27;9.516.875,05;B+;B+;B;B+;6,45;7,12;8,94;9,44
Padre Bernardo;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte II;31129;31646;32148;33228;15.395,87;15.678,25;15.122,00;15.252,00;13.798.677,30;14.774.739,86;14.562.203,91;17.557.675,12;B;B;B+;B;6,90;6,34;7,03;6,88
Palestina de Goiás;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;3499;3507;3514;3460;25.434,23;28.429,38;26.104,00;26.533,00;3.489.154,78;3.623.003,10;3.588.441,17;3.478.746,61;-;B;B;A;6,30;8,43;9,18;8,77
Palmeiras de Goiás;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte II;26393;26855;27304;28313;32.868,65;30.667,93;35.351,00;35.537,00;14.316.923,54;16.774.131,31;17.322.706,22;20.304.848,78;B+;B+;B+;A;7,11;5,40;6,81;7,52
Palmelo;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;2416;2420;2424;2380;11.487,07;12.224,33;14.307,00;16.428,00;3.757.754,54;3.865.017,40;4.254.586,06;3.963.759,7;-;C;B;-;9,01;9,63;9,15;8,25
Palminópolis;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;3661;3664;3667;3589;27.847,88;31.401,45;38.458,00;40.021,00;3.736.952,78;3.571.070,45;4.246.982,78;4.176.983,44;B+;-;B+;B+;7,60;8,77;9,17;8,74
Panamá;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;2722;2717;2712;2627;25.325,39;30.242,79;32.267,00;33.256,00;2.562.440,18;3.469.509,41;3.242.881,39;3.589.205,73;B+;B;B+;A;6,22;7,88;7,18;9,75
Paranaiguara;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;9760;9841;9919;9972;15.120,44;18.278,93;19.881,00;18.570,00;5.944.692,61;7.072.054,45;7.630.339,63;9.268.271,94;B;B;-;B+;8,04;8,01;8,36;8,99
Paraúna;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;11199;11210;11221;10995;55.703,25;72.605,27;80.558,00;81.939,00;10.487.872,09;12.143.891,46;10.212.867,76;13.610.964,58;B;C+;B;A;7,62;8,02;8,78;8,79
Perolândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;3105;3121;3135;3116;101.644,40;134.919,66;113.852,00;107.357,00;3.484.920,04;4.194.659,14;4.584.404,15;5.273.021,97;C+;B;B;B+;6,46;6,13;7,37;7,36
Petrolina de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;10547;10548;10548;10301;12.146,51;12.732,88;13.702,00;14.366,00;4.611.158,69;5.349.857,27;5.296.859,93;5.518.828,09;B+;-;C+;B+;7,45;7,75;8,73;7,96
Pilar de Goiás;MRG CERES;CENTRO GOIANO;pequeno porte I;2614;2571;2529;2314;67.061,63;60.385,05;67.466,00;86.654,00;3.429.675,65;3.733.429,48;4.655.393,63;4.393.366,2;B+;B+;B+;A;5,15;6,80;7,77;6,08
Piracanjuba;MRG MEIA PONTE;SUL GOIANO;pequeno porte II;24772;24830;24885;24499;25.809,45;29.862,24;31.193,00;32.400,00;13.834.720,07;14.270.874,77;14.668.683,23;16.221.281,62;C+;B;B+;B+;7,85;7,39;7,79;8,86
Piranhas;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;11164;11092;11022;10501;32.948,35;31.821,44;32.908,00;36.039,00;7.234.181,30;8.559.359,61;8.154.700,12;8.651.252,46;B+;-;B;B;7,84;7,52;8,46;7,61
Pirenópolis;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte II;24444;24604;24761;24749;15.297,59;14.120,17;16.657,00;18.116,00;7.733.747,45;9.947.950,78;7.110.213,44;8.958.035,64;B+;B;B+;-;7,05;7,92;7,81;7,52
Pires do Rio;MRG PIRES DO RIO;SUL GOIANO;pequeno porte II;30703;30930;31151;31225;24.219,38;25.487,60;28.693,00;28.706,00;14.124.703,61;17.205.585,46;16.517.058,03;19.207.190,77;B+;B+;B+;B;6,24;6,19;6,86;6,74
Planaltina;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;87474;88178;88863;89181;10.458,04;10.896,14;11.449,00;12.177,00;43.707.776,32;44.851.434,25;37.499.018,33;45.511.599,82;B+;-;C+;B+;6,51;6,97;6,80;6,98
