Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;População;porte;IDHM;Índice de Gini;Desp. Saúde 2018;Desp. Saúde Per Capta 2018;PIB médio de 2014 a 2020;PIB 2014;PIB 2016;PIB 2018;PIB 2020;IDM 2014;IDM 2016;IDM 2018;IDM 2020;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018
Rio Quente;MRG MEIA PONTE;SUL GOIANO;3.864;pequeno porte I;0,731;0,47;6.720.369,44;1.739,23;67.081,64;67.331,86;68.261,68;74.660,00;58.073,00;7,12;7,96;7,36;7,40;-;-;B;A
Rio Verde;MRG SUDOESTE DE GOIÁS;SUL GOIANO;225.696;grande porte;0,754;0,56;191.241.168,39;847,34;41.706,57;36.565,56;39.288,71;41.815,00;49.157,00;5,44;5,17;5,26;5,65;-;B+;B+;B
Rubiataba;MRG CERES;CENTRO GOIANO;19.788;pequeno porte I;0,719;0,45;15.947.100,72;805,90;21.387,20;17.239,96;20.751,85;21.818,00;25.739,00;7,91;8,33;9,06;9,07;B+;B;B+;B+
Sanclerlândia;MRG ANICUNS;CENTRO GOIANO;7.918;pequeno porte I;0,736;0,48;5.657.778,87;714,55;18.858,71;16.400,44;16.517,38;17.779,00;24.738,00;7,60;7,47;7,66;8,25;-;B+;B+;A
Santa Bárbara de Goiás;MRG ANICUNS;CENTRO GOIANO;6.149;pequeno porte I;0,706;0,39;4.490.014,39;730,20;16.233,86;18.248,78;14.794,64;14.457,00;17.435,00;7,94;7,62;8,24;8,65;B+;-;B+;B+
Santa Cruz de Goiás;MRG PIRES DO RIO;SUL GOIANO;3.002;pequeno porte I;0,688;0,49;4.528.333,96;1.508,44;42.935,82;31.040,28;34.771,00;45.475,00;60.457,00;7,36;8,66;8,81;8,97;-;B;B;B+
Santa Fé de Goiás;MRG RIO VERMELHO;NOROESTE GOIANO;4.951;pequeno porte I;0,713;0,49;5.233.673,98;1.057,09;44.795,32;39.161,14;39.387,12;54.503,00;46.130,00;7,33;7,32;7,16;7,59;B+;A;A;A
Santa Helena de Goiás;MRG SUDOESTE DE GOIÁS;SUL GOIANO;38.492;pequeno porte II;0,724;0,53;31.267.929,52;812,32;28.727,40;24.758,05;26.844,54;28.545,00;34.762,00;8,43;8,54;8,29;7,90;-;C+;B;A
Santa Isabel;MRG CERES;CENTRO GOIANO;3.538;pequeno porte I;0,683;0,40;3.553.268,89;1.004,32;19.777,09;16.845,39;19.788,97;19.360,00;23.114,00;7,18;7,70;7,50;7,83;-;B;B;A
Santa Rita do Araguaia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;5.924;pequeno porte I;0,714;0,49;4.163.958,24;702,90;16.437,34;16.686,60;18.525,75;14.722,00;15.815,00;5,23;5,53;5,87;5,08;B;-;A;B
Santa Rita do Novo Destino;MRG CERES;CENTRO GOIANO;2.689;pequeno porte I;0,634;0,45;2.732.522,61;1.016,19;22.020,12;15.569,11;20.572,35;25.329,00;26.610,00;3,85;6,58;5,93;7,13;-;-;B+;-
Santa Rosa de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;2.820;pequeno porte I;0,701;0,43;3.872.582,25;1.373,26;17.273,64;14.252,79;15.965,78;17.228,00;21.648,00;7,75;8,25;8,74;9,29;-;B+;B;B+
Santa Tereza de Goiás;MRG PORANGATU;NORTE GOIANO;3.293;pequeno porte I;0,665;0,53;4.232.006,94;1.285,15;16.662,52;13.014,62;14.958,44;17.647,00;21.030,00;6,88;6,77;8,58;8,80;B;B+;B;A
Santa Terezinha de Goiás;MRG PORANGATU;NORTE GOIANO;10.645;pequeno porte I;0,701;0,52;6.152.676,99;577,99;14.229,09;11.663,41;13.239,96;14.529,00;17.484,00;6,64;6,48;6,56;7,35;B+;-;B+;-
Santo Antônio da Barra;MRG SUDOESTE DE GOIÁS;SUL GOIANO;4.267;pequeno porte I;0,691;0,44;4.073.568,51;954,67;43.004,73;31.985,39;37.196,51;47.390,00;55.447,00;5,92;6,55;7,58;7,15;B+;B+;B+;B+
Santo Antônio de Goiás;MRG GOIÂNIA;CENTRO GOIANO;7.386;pequeno porte I;0,723;0,44;4.233.314,21;573,15;22.975,99;25.363,94;22.391,02;21.480,00;22.669,00;7,21;8,18;8,81;8,55;-;B+;B+;A
Santo Antônio do Descoberto;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;72.127;médio porte;0,665;0,47;24.243.677,36;336,12;8.804,39;7.905,06;8.320,50;9.129,00;9.863,00;5,90;5,64;5,40;5,53;-;C;B;C+
São Domingos;MRG VÃO DO PARANÃ;LESTE GOIANO;9.711;pequeno porte I;0,597;0,62;6.506.174,02;669,98;13.684,26;10.351,91;11.816,12;12.550,00;20.019,00;6,13;5,77;6,70;6,99;-;-;B+;B
São Francisco de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;6.378;pequeno porte I;0,651;0,47;3.984.070,63;624,66;15.584,32;14.270,98;14.625,31;16.380,00;17.061,00;6,57;6,50;7,10;6,62;C+;-;B+;B
São João d'Aliança;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;14.041;pequeno porte I;0,685;0,50;7.569.152,85;539,08;23.569,03;17.399,51;23.186,59;21.887,00;31.803,00;7,55;7,52;7,36;7,94;B;B;B;C+
São João da Paraúna;MRG VALE DO RIO DOS BOIS;SUL GOIANO;1.774;pequeno porte I;0,724;0,54;2.181.511,32;1.229,71;35.393,83;25.273,80;29.900,52;36.905,00;49.496,00;6,91;7,75;7,76;7,77;-;A;A;B+
São Luis de Montes Belos;MRG ANICUNS;CENTRO GOIANO;33.852;pequeno porte II;0,731;0,49;24.805.103,93;732,75;26.286,79;18.884,16;23.906,00;25.256,00;37.101,00;7,87;6,91;8,03;8,67;A;B+;B;B+
São Luiz do Norte;MRG CERES;CENTRO GOIANO;4.837;pequeno porte I;0,669;0,40;5.044.520,01;1.042,90;20.769,76;15.180,54;18.096,49;23.726,00;26.076,00;7,93;6,95;8,13;6,96;A;A;A;A
São Miguel do Araguaia;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;21.900;pequeno porte II;0,664;0,51;15.018.591,28;685,78;22.074,89;18.739,05;22.635,52;21.981,00;24.944,00;7,31;6,93;8,36;7,34;B+;-;-;B
São Miguel do Passa Quatro;MRG PIRES DO RIO;SUL GOIANO;4.464;pequeno porte I;0,697;0,44;3.491.758,01;782,20;35.747,98;26.317,02;32.025,88;36.170,00;48.479,00;6,31;8,04;8,42;7,05;B+;B;A;A
São Patrício;MRG CERES;CENTRO GOIANO;2.143;pequeno porte I;0,693;0,45;2.826.438,12;1.318,92;18.027,39;15.254,70;17.277,84;17.267,00;22.310,00;7,35;7,33;7,22;5,97;B+;-;B+;A
São Simão;MRG QUIRINÓPOLIS;SUL GOIANO;17.020;pequeno porte I;0,720;0,56;31.681.925,74;1.861,45;86.232,23;118.719,45;121.806,46;38.132,00;66.271,00;7,09;6,88;8,30;8,46;B;B;B;B
Senador Canedo;MRG GOIÂNIA;CENTRO GOIANO;155.635;grande porte;0,701;0,44;95.131.364,94;611,25;30.850,36;24.513,13;33.136,31;33.324,00;32.428,00;7,58;7,22;7,45;7,10;-;B+;B+;B+
Serranópolis;MRG SUDOESTE DE GOIÁS;SUL GOIANO;8.027;pequeno porte I;0,681;0,49;6.027.174,11;750,86;48.411,32;35.423,77;52.079,49;48.460,00;57.682,00;7,13;7,02;8,05;8,53;B;B+;C+;B
Silvânia;MRG PIRES DO RIO;SUL GOIANO;22.245;pequeno porte II;0,709;0,51;14.324.674,54;643,95;33.360,13;25.111,63;30.457,89;35.837,00;42.034,00;7,51;7,33;8,24;8,51;B;-;-;A
Simolândia;MRG VÃO DO PARANÃ;LESTE GOIANO;5.742;pequeno porte I;0,645;0,48;5.272.117,17;918,17;15.107,71;11.158,20;13.216,64;15.145,00;20.911,00;6,57;6,65;6,94;8,16;C+;C;C+;-
Sítio d'Abadia;MRG VÃO DO PARANÃ;LESTE GOIANO;2.927;pequeno porte I;0,617;0,57;3.271.825,54;1.117,81;15.633,99;12.307,46;12.330,50;16.273,00;21.625,00;7,65;7,18;7,80;7,94;-;C+;B;B+
Taquaral de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;4.026;pequeno porte I;0,716;0,44;4.410.837,26;1.095,59;18.150,60;15.428,54;15.609,85;18.072,00;23.492,00;8,69;7,52;8,98;8,64;C+;B+;B+;A
Teresina de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;2.701;pequeno porte I;0,661;0,53;3.983.438,16;1.474,80;9.263,01;8.401,51;8.934,51;9.502,00;10.214,00;6,88;7,02;7,17;7,24;B;B;B;B
Terezópolis de Goiás;MRG GOIÂNIA;CENTRO GOIANO;7.944;pequeno porte I;0,685;0,44;4.582.419,80;576,84;23.135,15;21.699,22;24.369,39;25.325,00;21.147,00;5,71;6,42;6,29;6,94;B+;-;A;A
Três Ranchos;MRG CATALÃO;SUL GOIANO;2.921;pequeno porte I;0,745;0,47;3.903.690,34;1.336,42;16.941,41;15.039,97;15.079,68;17.453,00;20.193,00;7,11;7,40;7,95;8,05;B+;B;B;B+
Trindade;MRG GOIÂNIA;CENTRO GOIANO;142.431;grande porte;0,699;0,43;55.503.333,77;389,69;16.499,06;13.960,33;16.276,89;17.166,00;18.593,00;7,09;7,42;7,73;7,76;B+;A;A;A
Trombas;MRG PORANGATU;NORTE GOIANO;3.120;pequeno porte I;0,653;0,53;3.799.422,62;1.217,76;13.827,64;10.868,56;12.673,01;14.780,00;16.989,00;8,51;8,09;8,68;7,79;B+;B+;A;A
Turvânia;MRG ANICUNS;CENTRO GOIANO;4.480;pequeno porte I;0,697;0,50;4.610.713,82;1.029,18;19.620,26;17.679,99;18.252,03;18.364,00;24.185,00;8,28;8,90;8,26;8,71;B+;A;A;B+
Turvelândia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;4.985;pequeno porte I;0,691;0,45;5.827.594,85;1.169,03;74.395,20;61.302,61;81.567,20;67.650,00;87.061,00;6,01;7,14;8,34;8,42;-;-;A;B+
Uirapuru;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;2.798;pequeno porte I;0,670;0,45;2.868.907,47;1.025,34;16.045,03;13.249,74;14.815,38;15.234,00;20.881,00;5,63;7,37;6,85;6,27;B+;-;B;B
Uruaçu;MRG PORANGATU;NORTE GOIANO;42.546;pequeno porte II;0,737;0,58;24.606.375,99;578,35;21.064,97;18.354,43;18.774,45;21.020,00;26.111,00;8,05;8,04;7,90;8,37;B+;B;B;B+
Uruana;MRG CERES;CENTRO GOIANO;13.729;pequeno porte I;0,703;0,48;8.539.636,30;622,01;15.086,05;11.727,30;14.343,91;15.277,00;18.996,00;7,45;6,95;8,32;7,62;B+;-;A;B+
Urutaí;MRG PIRES DO RIO;SUL GOIANO;3.553;pequeno porte I;0,732;0,50;3.450.933,42;971,27;29.036,86;26.923,94;26.598,50;28.373,00;34.252,00;5,61;6,63;6,67;7,28;B+;B+;A;A
Valparaíso de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;198.861;grande porte;0,746;0,53;60.782.649,36;305,65;14.767,59;13.210,69;14.699,68;15.539,00;15.621,00;5,41;5,53;5,49;5,63;-;C;B+;B
Varjão;MRG VALE DO RIO DOS BOIS;SUL GOIANO;3.716;pequeno porte I;0,687;0,47;3.600.383,39;968,89;17.166,73;14.101,26;15.139,67;17.334,00;22.092,00;6,63;6,53;6,32;5,07;-;B;A;A
Vianópolis;MRG PIRES DO RIO;SUL GOIANO;14.956;pequeno porte I;0,712;0,47;9.007.210,65;602,25;31.069,70;22.699,57;27.534,21;32.025,00;42.020,00;6,78;7,22;8,47;8,61;B+;B+;B+;A
Vicentinópolis;MRG MEIA PONTE;SUL GOIANO;8.768;pequeno porte I;0,684;0,48;8.380.515,21;955,81;40.116,50;34.248,14;41.609,86;37.436,00;47.172,00;7,55;7,77;7,89;7,55;B;B;A;B+
Vila Boa;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;4.215;pequeno porte I;0,647;0,49;4.371.941,80;1.037,23;19.220,17;16.845,67;23.565,00;17.160,00;19.310,00;7,50;7,94;7,27;7,54;-;C+;C+;-
Vila Propício;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;5.815;pequeno porte I;0,634;0,52;4.689.843,49;806,51;32.026,01;25.085,91;37.431,13;28.444,00;37.143,00;5,77;5,75;7,24;5,67;B+;-;B;B+
