Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;População;porte;IDHM;Índice de Gini;Desp. Saúde 2018;Desp. Saúde Per Capta 2018;PIB médio de 2014 a 2020;PIB 2014;PIB 2016;PIB 2018;PIB 2020;IDM 2014;IDM 2016;IDM 2018;IDM 2020;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018
Jussara;MRG RIO VERMELHO;NOROESTE GOIANO;19.620;pequeno porte I;0,743;0,66;12.849.765,33;654,93;24.898,30;21.181,34;22.218,87;23.959,00;32.234,00;7,15;7,70;7,39;7,10;B+;B;A;A
Lagoa Santa;MRG QUIRINÓPOLIS;SUL GOIANO;1.390;pequeno porte I;0,740;0,52;3.003.241,83;2.160,61;25.353,85;23.333,57;26.050,84;25.332,00;26.699,00;7,71;7,27;7,72;5,76;-;-;A;B+
Leopoldo de Bulhões;MRG GOIÂNIA;CENTRO GOIANO;8.745;pequeno porte I;0,659;0,45;5.460.644,49;624,43;27.430,91;19.890,26;23.784,36;29.507,00;36.542,00;7,91;7,25;7,40;7,18;-;B+;B+;B+
Luziânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;209.129;grande porte;0,701;0,51;74.945.928,83;358,37;18.415,81;16.190,13;17.471,11;17.452,00;22.550,00;4,96;4,61;4,55;4,25;B+;B;B+;B+
Mairipotaba;MRG MEIA PONTE;SUL GOIANO;2.561;pequeno porte I;0,745;0,68;2.975.845,04;1.161,99;22.754,73;16.498,50;23.085,43;21.190,00;30.245,00;8,77;9,28;8,88;8,01;A;B;B+;B+
Mambaí;MRG VÃO DO PARANÃ;LESTE GOIANO;8.124;pequeno porte I;0,626;0,55;5.880.640,49;723,86;9.361,47;9.086,14;9.424,74;9.382,00;9.553,00;7,13;7,36;7,48;7,32;-;-;B;-
Mara Rosa;MRG PORANGATU;NORTE GOIANO;10.700;pequeno porte I;0,691;0,49;7.801.528,70;729,11;19.988,51;15.345,70;17.278,33;19.956,00;27.374,00;6,33;6,77;7,83;7,68;C+;B;B+;B
Marzagão;MRG MEIA PONTE;SUL GOIANO;2.758;pequeno porte I;0,699;0,47;3.491.324,58;1.265,89;18.945,89;17.217,03;17.083,52;18.871,00;22.612,00;8,47;8,99;8,80;8,85;B+;B+;-;B+
Matrinchã;MRG RIO VERMELHO;NOROESTE GOIANO;4.042;pequeno porte I;0,679;0,42;4.517.718,11;1.117,69;23.085,32;17.407,26;21.738,00;22.460,00;30.736,00;8,30;8,31;8,86;9,48;-;B+;B;B+
Maurilândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;10.304;pequeno porte I;0,677;0,42;7.346.119,50;712,94;15.055,66;14.161,29;14.248,34;16.350,00;15.463,00;5,80;5,16;5,11;7,10;-;B;A;B+
Mimoso de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;2.614;pequeno porte I;0,665;0,59;3.217.911,63;1.231,03;30.370,70;17.122,93;15.274,88;21.908,00;67.177,00;7,21;7,46;6,32;7,55;-;B;B+;A
Minaçu;MRG PORANGATU;NORTE GOIANO;27.075;pequeno porte II;0,707;0,55;24.064.755,35;888,82;32.627,81;28.920,82;32.202,43;35.258,00;34.130,00;6,18;5,50;5,78;6,20;B;B;B;B
Mineiros;MRG SUDOESTE DE GOIÁS;SUL GOIANO;70.081;médio porte;0,718;0,56;55.030.001,51;785,23;36.691,86;32.394,61;36.703,84;39.248,00;38.421,00;5,99;6,88;7,60;7,74;B+;B+;B+;B
Moiporá;MRG IPORÁ;CENTRO GOIANO;1.685;pequeno porte I;0,696;0,43;2.893.058,60;1.716,95;22.319,74;17.745,86;20.486,08;22.425,00;28.622,00;7,89;7,75;6,57;7,99;B+;B+;B+;B+
Monte Alegre de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;6.692;pequeno porte I;0,615;0,61;5.785.280,50;864,51;9.938,18;8.961,29;9.732,41;9.645,00;11.414,00;5,98;6,79;6,88;8,20;C+;-;B;B
Montes Claros de Goiás;MRG ARAGARÇAS;NOROESTE GOIANO;8.756;pequeno porte I;0,707;0,50;7.661.567,24;875,01;39.069,69;30.771,31;34.807,44;36.431,00;54.269,00;7,86;8,16;8,88;7,83;B+;B+;B+;C+
Montividiu;MRG SUDOESTE DE GOIÁS;SUL GOIANO;12.521;pequeno porte I;0,733;0,48;9.121.586,54;728,50;60.928,94;49.593,91;59.010,83;59.494,00;75.617,00;7,14;6,63;7,82;6,74;B;B;B+;B
Montividiu do Norte;MRG PORANGATU;NORTE GOIANO;3.779;pequeno porte I;0,613;0,57;3.640.460,17;963,34;14.958,66;11.939,17;13.920,45;15.682,00;18.293,00;7,22;6,74;7,29;7,31;B+;A;A;A
Morrinhos;MRG MEIA PONTE;SUL GOIANO;51.351;médio porte;0,734;0,50;21.285.682,68;414,51;29.075,85;25.229,07;27.621,32;29.978,00;33.475,00;8,02;7,67;8,12;8,07;B;B;B+;B+
Morro Agudo de Goiás;MRG CERES;CENTRO GOIANO;2.456;pequeno porte I;0,695;0,42;3.111.228,33;1.266,79;16.753,16;13.735,73;15.196,89;17.211,00;20.869,00;8,15;8,66;9,44;8,98;-;B;A;A
Mossâmedes;MRG ANICUNS;CENTRO GOIANO;4.654;pequeno porte I;0,706;0,51;4.740.674,30;1.018,62;18.891,62;15.220,20;16.565,28;17.888,00;25.893,00;8,63;7,75;9,46;8,83;B;B;C+;B
Mozarlândia;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;14.750;pequeno porte I;0,683;0,44;14.918.692,31;1.011,44;38.670,76;32.120,47;30.713,58;34.244,00;57.605,00;6,62;6,56;6,54;6,55;B+;-;A;A
Mundo Novo;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;6.189;pequeno porte I;0,634;0,48;4.875.794,45;787,82;20.055,43;15.428,91;18.190,80;19.101,00;27.501,00;6,83;8,46;8,82;8,65;B+;B+;A;B+
Mutunópolis;MRG PORANGATU;NORTE GOIANO;3.564;pequeno porte I;0,680;0,55;5.051.390,60;1.417,34;16.000,87;13.156,70;15.122,79;16.136,00;19.588,00;7,03;7,44;8,74;8,88;B;-;B;B
Nazário;MRG ANICUNS;CENTRO GOIANO;8.189;pequeno porte I;0,710;0,50;5.237.490,47;639,58;20.474,30;16.427,65;19.143,56;19.632,00;26.694,00;7,70;7,22;8,29;7,98;-;B;B;B+
